sample_id,HAVCR2,LAG3,PDCD1,TIGIT
TCGA-AZ-4616-01,169.905,186.846,85.2018,69.2576
TCGA-AZ-4681-01,27.7622,14.124,2.3507,6.4903
TCGA-AZ-4682-01,57.3359,17.2008,9.829,8.6004
TCGA-AZ-4684-01,211.801,55.0873,34.667,44.1648
TCGA-AZ-5403-01,142.989,10.6432,6.0157,9.7177
TCGA-AZ-5407-01,93.5416,45.3183,22.6591,36.6032
TCGA-AZ-6598-01,280.238,138.769,36.1771,29.1577
TCGA-AZ-6599-01,13.7562,16.3037,8.6613,16.8131
TCGA-AZ-6600-01,341.536,32.6686,31.8201,47.518
TCGA-AZ-6603-01,175.885,69.4762,20.1115,24.8652
TCGA-AZ-6605-01,278.051,68.4055,40.8465,104.331
TCGA-AZ-6606-01,29.5249,18.2971,5.406,12.0595
TCGA-AZ-6607-01,383.494,74.1861,34.6999,50.8534
TCGA-CA-5254-01,76.9012,24.6235,8.7129,17.4259
TCGA-CA-5255-01,27.192,14.9834,5.5494,11.6537
TCGA-CA-5256-01,106.723,36.4549,16.3783,28.5299
TCGA-CA-5796-01,93.9297,18.5304,12.1406,26.1981
TCGA-CA-5797-01,119.464,53.9635,19.3524,35.3554
TCGA-CA-6715-01,23.2816,1.4782,1.4782,4.4346
TCGA-CA-6716-01,32.2478,8.0619,4.2431,6.789
TCGA-CA-6717-01,317.425,185.952,84.6466,211.616
TCGA-CA-6718-01,376.175,505.094,129.702,161.05
TCGA-CA-6719-01,214.65,66.2958,22.7167,61.6597
TCGA-CI-6619-01,85.6739,64.2554,46.0699,37.9875
TCGA-CI-6620-01,75.213,22.7206,9.7934,31.3388
TCGA-CI-6621-01,202.845,77.3493,45.7781,59.9852
TCGA-CI-6622-01,43.6626,10.1738,8.4782,8.9021
TCGA-CI-6623-01,68.5028,38.8418,10.9463,24.0113
TCGA-CI-6624-01,148.848,79.2627,35.4839,122.581
TCGA-CK-4947-01,213.018,81.5723,32.967,121.724
TCGA-CK-4948-01,176.974,20.3947,23.6842,35.1974
TCGA-CK-4950-01,186.559,84.0687,70.3363,87.7529
TCGA-CK-4951-01,289.118,118.421,59.0327,93.8834
TCGA-CK-4952-01,117.888,26.1973,13.0986,5.3213
TCGA-CK-5912-01,57.8842,5.489,6.487,9.98
TCGA-CK-5913-01,186.369,55.1115,30.711,72.3601
TCGA-CK-5914-01,123.937,72.499,27.5415,54.273
TCGA-CK-5915-01,17.3179,15.9858,2.2202,3.9964
TCGA-CK-5916-01,446.002,274.783,125.942,139.473
TCGA-CK-6746-01,306.113,2322.99,60.219,53.8321
TCGA-CK-6747-01,76.7744,37.8362,22.0405,43.7137
TCGA-CK-6748-01,256.858,14.2248,9.3477,25.6046
TCGA-CK-6751-01,101.746,48.5953,30.3721,61.2503
TCGA-CL-4957-01,40.657,23.2326,10.1643,18.5135
TCGA-CL-5917-01,33.814,11.4371,10.4426,11.4371
TCGA-CL-5918-01,40.6203,22.5058,6.0382,21.408
TCGA-CM-4743-01,113.948,52.3039,17.4346,19.3026
TCGA-CM-4744-01,188.222,134.499,68.4091,102.807
TCGA-CM-4746-01,30.905,42.2632,21.8877,24.0717
TCGA-CM-4747-01,100.529,35.594,12.987,21.164
TCGA-CM-4748-01,120.4946,105.4867,21.1854,-0.285
TCGA-CM-4750-01,76.2989,39.2394,23.7116,24.1902
TCGA-CM-4751-01,172.761,154.479,92.3218,134.826
TCGA-CM-4752-01,260.412,64.3626,24.6097,49.0391
TCGA-CM-5341-01,799.0781,35.1709,8.4727,56.2468
TCGA-CM-5344-01,113.426,9.37,10.3563,14.7947
TCGA-CM-5348-01,514.274,35.6843,28.1276,55.8354
TCGA-CM-5349-01,230.073,25.4381,0.5653,26.0034
TCGA-CM-5860-01,309.005,28.8405,21.1889,41.2007
TCGA-CM-5861-01,82.6855,380.212,26.8551,27.5618
TCGA-CM-5862-01,44.4444,4.5752,13.0719,5.8824
TCGA-CM-5863-01,175.042,33.1811,7.6942,17.3119
TCGA-CM-5864-01,72.8883,27.9292,36.1035,13.624
TCGA-CM-5868-01,128.315,10.3943,4.6595,8.6022
TCGA-CM-6161-01,189.722,41.1135,39.4004,109.636
TCGA-CM-6162-01,588.899,104.242,68.1408,171.029
TCGA-CM-6163-01,176.016,68.2262,27.8557,82.7597
TCGA-CM-6164-01,103.819,82.6845,37.0782,50.7972
TCGA-CM-6165-01,220.581,23.6337,17.2329,62.0384
TCGA-CM-6166-01,19.7605,10.7784,5.3892,11.976
TCGA-CM-6167-01,276.63,25.9671,15.8983,119.237
TCGA-CM-6168-01,353.908,42.5532,32.4415,119.654
TCGA-CM-6169-01,422.315,119.917,54.2231,193.952
TCGA-CM-6170-01,124.74,33.6798,18.711,44.0748
TCGA-CM-6171-01,99.8763,82.7803,26.5437,45.4392
TCGA-CM-6172-01,85.9619,23.108,9.7054,20.3351
TCGA-CM-6674-01,233.634,85.7788,29.3454,54.1761
TCGA-CM-6675-01,81.7959,25.7879,21.7585,29.8172
TCGA-CM-6676-01,60.0858,19.7425,12.0172,12.8755
TCGA-CM-6677-01,132.701,64.9966,39.2688,54.1638
TCGA-CM-6678-01,31.7668,8.7032,6.5274,13.49
TCGA-CM-6679-01,143.646,41.8311,28.4136,47.356
TCGA-CM-6680-01,206.697,73.6879,45.4177,63.4921
TCGA-D5-5537-01,76.7042,9.8973,12.8665,17.3203
TCGA-D5-5538-01,547.004,55.3428,29.1538,72.1433
TCGA-D5-5539-01,204.815,14.0928,6.1069,34.7622
